代码,名称,行业,风险详情
000078,海王生物,医药商业,2020负债率过高(81.1%) | 2020应收账款占比过高(42.1%) | 2021负债率过高(80.6%) | 2021应收账款占比过高(50.5%) | 2022负债率过高(83.1%) | 2022经营性亏损(利润与现金流双负) | 2022应收账款占比过高(51.9%) | 2023负债率过高(86.9%) | 2023经营性亏损(利润与现金流双负) | 2023应收账款占比过高(53.7%) | 2024负债率过高(90.1%) | 2024应收账款占比过高(53.2%)
000088,盐 田 港,港口,2020净现比过低(0.7) | 2023净现比过低(0.43) | 2024净现比过低(0.21)
000096,广聚能源,石油石化,2020净现比过低(0.32) | 2021净现比过低(-0.81) | 2023净现比过低(0.56)
000100,TCL科技,光学光电子,2020负债率过高(65.1%) | 2021负债率过高(61.2%) | 2022负债率过高(63.3%) | 2023负债率过高(62.1%) | 2024负债率过高(64.9%)
000151,中成股份,商贸零售,2021负债率过高(60.9%) | 2021净现比过低(-2.16) | 2022负债率过高(73.3%) | 2023负债率过高(74.2%) | 2024负债率过高(88.1%) | 2024经营性亏损(利润与现金流双负)
000153,丰原药业,医药生物,2020负债率过高(60.2%) | 2021负债率过高(56.4%) | 2022负债率过高(60.7%) | 2023负债率过高(56.3%) | 2024负债率过高(56.5%) | 2024净现比过低(0.78)
000156,华数传媒,传媒,2020负债率过高(40.8%) | 2021负债率过高(43.3%) | 2022负债率过高(44.9%) | 2023负债率过高(48.1%) | 2024负债率过高(47.2%)
000157,中联重科,机械设备,2021净现比过低(0.42) | 2024净现比过低(0.61)
000158,常山北明,IT服务Ⅱ,2020负债率过高(59.5%) | 2021负债率过高(62.8%) | 2022负债率过高(64.1%) | 2023负债率过高(64.3%) | 2024负债率过高(67.0%) | 2024经营性亏损(利润与现金流双负)
000159,国际实业,石油石化,2020净现比过低(-0.53) | 2021净现比过低(0.39) | 2022净现比过低(-1.09) | 2023净现比过低(-0.52)
000301,东方盛虹,石油石化,2021负债率过高(77.7%) | 2022负债率过高(78.7%) | 2023负债率过高(81.3%) | 2024负债率过高(81.7%)
000333,美的集团,白色家电,2020负债率过高(65.5%) | 2020净现比过低(1.09) | 2021负债率过高(65.2%) | 2022负债率过高(64.0%) | 2023负债率过高(64.1%) | 2024负债率过高(62.3%)
000338,潍柴动力,底盘与发动机系统,2020负债率过高(70.2%) | 2022净现比过低(-0.48) | 2023负债率过高(66.3%)
000400,许继电气,电网自动化设备,2020应收账款占比过高(47.3%)
000403,派林生物,血液制品,2020负债率过高(42.4%) | 2024净现比过低(0.43)
000404,长虹华意,家用电器,2020负债率过高(59.6%) | 2021负债率过高(60.6%) | 2022负债率过高(61.2%) | 2023负债率过高(62.6%) | 2024负债率过高(60.1%)
000408,藏格矿业,钾肥,2020净现比过低(-0.76) | 2024净现比过低(0.36)
000409,云鼎科技,IT服务Ⅱ,2020负债率过高(42.7%) | 2020净现比过低(-2.1) | 2021负债率过高(50.0%) | 2021净现比过低(-1.07)
000410,沈阳机床,机械设备,2020负债率过高(93.7%) | 2020经营性亏损(利润与现金流双负) | 2021负债率过高(119.3%) | 2021经营性亏损(利润与现金流双负) | 2022负债率过高(73.0%) | 2022净现比过低(-10.02) | 2023负债率过高(68.8%) | 2024净现比过低(-4.28)
000411,英特集团,医药商业,2020负债率过高(71.5%) | 2020应收账款占比过高(44.6%) | 2021负债率过高(71.3%) | 2021应收账款占比过高(43.8%) | 2022负债率过高(70.5%) | 2022应收账款占比过高(50.7%) | 2023负债率过高(65.6%) | 2023净现比过低(0.87) | 2023应收账款占比过高(45.5%) | 2024负债率过高(64.4%) | 2024净现比过低(0.78) | 2024应收账款占比过高(45.1%)
000417,合百集团,一般零售,2020负债率过高(56.5%) | 2021负债率过高(60.9%) | 2022负债率过高(60.2%) | 2023负债率过高(57.5%) | 2024负债率过高(56.5%)
000419,通程控股,一般零售,2020净现比过低(0.38) | 2022净现比过低(0.19) | 2024净现比过低(1.07)
000421,南京公用,综合Ⅱ,2020净现比过低(-8.37) | 2021负债率过高(71.3%) | 2022负债率过高(74.0%) | 2022净现比过低(-9.65) | 2023负债率过高(75.6%) | 2024负债率过高(73.1%)
000422,湖北宜化,氮肥,2020负债率过高(93.9%) | 2021负债率过高(81.0%)
000425,徐工机械,机械设备,2021负债率过高(68.4%) | 2022负债率过高(68.8%) | 2022净现比过低(0.37) | 2023净现比过低(0.67)
000428,华天酒店,社会服务,2020负债率过高(70.0%) | 2020经营性亏损(利润与现金流双负) | 2021负债率过高(68.2%) | 2021净现比过低(0.39) | 2022负债率过高(73.9%) | 2023负债率过高(74.4%) | 2024负债率过高(77.5%)
000430,ST张家界,社会服务,2020经营性亏损(利润与现金流双负) | 2021负债率过高(51.9%) | 2021经营性亏损(利润与现金流双负) | 2022负债率过高(61.3%) | 2022经营性亏损(利润与现金流双负) | 2023负债率过高(67.7%) | 2024负债率过高(86.1%)
000488,ST晨鸣,造纸,2024负债率过高(79.8%)
000498,山东路桥,基建市政工程,2020负债率过高(76.6%) | 2020净现比过低(0.73) | 2021负债率过高(76.0%) | 2021净现比过低(-1.1) | 2022负债率过高(77.1%) | 2022净现比过低(0.06) | 2023负债率过高(76.6%) | 2023净现比过低(-1.73) | 2024负债率过高(78.3%) | 2024净现比过低(-2.21)
000501,武商集团,百货,2020负债率过高(56.5%) | 2021负债率过高(62.1%) | 2022负债率过高(65.0%) | 2023负债率过高(65.3%) | 2024负债率过高(63.9%)
000503,国新健康,垂直应用软件,2020经营性亏损(利润与现金流双负) | 2021经营性亏损(利润与现金流双负) | 2022经营性亏损(利润与现金流双负) | 2023经营性亏损(利润与现金流双负) | 2024经营性亏损(利润与现金流双负)
000504,*ST生物,其他医疗服务,2020负债率过高(75.8%) | 2020净现比过低(-25.41) | 2021负债率过高(83.3%) | 2022负债率过高(85.5%) | 2023负债率过高(60.5%) | 2024负债率过高(53.6%)
000505,京粮控股,粮油加工,2020净现比过低(-1.33) | 2022净现比过低(-3.77) | 2023净现比过低(1.08) | 2024净现比过低(-4.19)
000506,招金黄金,黄金,2020负债率过高(75.3%) | 2021负债率过高(76.2%) | 2022净现比过低(-0.46) | 2023净现比过低(-2.41)
000507,珠海港,公用事业,2020净现比过低(1.17)
000509,华塑控股,光学光电子,2020负债率过高(45.0%) | 2020净现比过低(-12.61) | 2021负债率过高(62.0%) | 2021经营性亏损(利润与现金流双负) | 2022负债率过高(64.0%) | 2023负债率过高(69.8%) | 2024负债率过高(75.5%)
000510,新金路,氯碱,2022净现比过低(-1.49) | 2023经营性亏损(利润与现金流双负) | 2024经营性亏损(利润与现金流双负)
000513,丽珠集团,医药生物,2021净现比过低(1.07)
000516,国际医学,医院,2020负债率过高(58.5%) | 2020净现比过低(0.91) | 2021负债率过高(60.0%) | 2022负债率过高(68.0%) | 2023负债率过高(66.3%) | 2024负债率过高(67.4%)
